tc,call_volume,aht,service_level,art
2022-12-07 07:45:00.000,210,307,80,30
2022-12-07 08:00:00.000,245,427,80,30
2022-12-07 08:15:00.000,274,216,80,30
2022-12-07 08:30:00.000,317,216,80,30
2022-12-07 08:45:00.000,357,316,80,30
2022-12-07 09:00:00.000,410,460,80,30
2022-12-07 09:15:00.000,478,456,80,30
2022-12-07 09:30:00.000,553,428,80,30
2022-12-07 09:45:00.000,572,442,80,30
2022-12-07 10:00:00.000,596,470,80,30
2022-12-07 10:15:00.000,615,458,80,30
2022-12-07 10:30:00.000,640,446,80,30
2022-12-07 10:45:00.000,634,459,80,30
2022-12-07 11:00:00.000,639,486,80,30
2022-12-07 11:15:00.000,631,424,80,30
2022-12-07 11:30:00.000,623,515,80,30
2022-12-07 11:45:00.000,608,540,80,30
2022-12-07 12:00:00.000,606,445,80,30
2022-12-07 12:15:00.000,582,513,80,30
2022-12-07 12:30:00.000,558,456,80,30
2022-12-07 12:45:00.000,554,449,80,30
2022-12-07 13:00:00.000,552,413,80,30
2022-12-07 13:15:00.000,554,485,80,30
2022-12-07 13:30:00.000,551,472,80,30
2022-12-07 13:45:00.000,557,579,80,30
2022-12-07 14:00:00.000,549,548,80,30
2022-12-07 14:15:00.000,550,490,80,30
2022-12-07 14:30:00.000,554,526,80,30
2022-12-07 14:45:00.000,536,558,80,30
2022-12-07 15:00:00.000,530,466,80,30
2022-12-07 15:15:00.000,509,430,80,30
2022-12-07 15:30:00.000,515,470,80,30
2022-12-07 15:45:00.000,502,487,80,30
2022-12-07 16:00:00.000,476,380,80,30
2022-12-07 16:15:00.000,448,525,80,30
2022-12-07 16:30:00.000,420,430,80,30
2022-12-07 16:45:00.000,383,372,80,30
2022-12-07 17:00:00.000,356,518,80,30
2022-12-07 17:15:00.000,307,354,80,30
2022-12-07 17:30:00.000,287,554,80,30
2022-12-07 17:45:00.000,256,421,80,30
2022-12-07 18:00:00.000,235,376,80,30
2022-12-07 18:15:00.000,186,447,80,30
2022-12-07 18:30:00.000,169,286,80,30
2022-12-07 18:45:00.000,155,249,80,30
2022-12-07 19:00:00.000,144,281,80,30
2022-12-07 19:15:00.000,111,410,80,30
2022-12-07 19:30:00.000,105,357,80,30
2022-12-07 19:45:00.000,97,240,80,30
2022-12-07 20:00:00.000,85,319,80,30
2022-12-07 20:15:00.000,74,189,80,30
2022-12-07 20:30:00.000,66,179,80,30
2022-12-07 20:45:00.000,60,196,80,30
2022-12-07 21:00:00.000,57,435,80,30
2022-12-07 21:15:00.000,56,180,80,30
2022-12-07 21:30:00.000,48,381,80,30
2022-12-07 21:45:00.000,41,199,80,30
2022-12-07 22:00:00.000,38,188,80,30
2022-12-07 22:15:00.000,36,216,80,30
2022-12-07 22:30:00.000,32,190,80,30
2022-12-07 22:45:00.000,22,196,80,30
2022-12-07 23:00:00.000,23,152,80,30
2022-12-07 23:15:00.000,18,196,80,30
2022-12-07 23:30:00.000,15,185,80,30
2022-12-07 23:45:00.000,14,198,80,30
